MatchID,TEAMID,COUNTRY,SEASON,MATCHDATE,TEAMID,TEAMAVG,TEAMMAX,TEAMMIN
1037,1,1, u'2012/2013', u'2012-11-04 00:00:00',8342,27,34,23
1037,1,1, u'2012/2013', u'2012-11-04 00:00:00',10000,25,32,18
1038,1,1, u'2012/2013', u'2012-11-04 00:00:00',9985,24,29,19
1038,1,1, u'2012/2013', u'2012-11-04 00:00:00',1773,27,32,22
1039,1,1, u'2012/2013', u'2012-11-03 00:00:00',9991,25,30,18
1039,1,1, u'2012/2013', u'2012-11-03 00:00:00',9987,27,31,22
1040,1,1, u'2012/2013', u'2012-11-03 00:00:00',9993,24,30,19
1040,1,1, u'2012/2013', u'2012-11-03 00:00:00',8475,27,34,20
1041,1,1, u'2012/2013', u'2012-11-03 00:00:00',9986,24,27,20
1041,1,1, u'2012/2013', u'2012-11-03 00:00:00',9994,26,34,20
1042,1,1, u'2012/2013', u'2012-11-03 00:00:00',8571,26,31,21
1042,1,1, u'2012/2013', u'2012-11-03 00:00:00',9989,24,28,19
1043,1,1, u'2012/2013', u'2012-11-03 00:00:00',8203,25,33,18
1043,1,1, u'2012/2013', u'2012-11-03 00:00:00',8635,25,31,18
1044,1,1, u'2012/2013', u'2012-11-03 00:00:00',9998,29,35,24
1044,1,1, u'2012/2013', u'2012-11-03 00:00:00',9984,27,34,20
1045,1,1, u'2012/2013', u'2012-11-11 00:00:00',8635,25,31,18
1045,1,1, u'2012/2013', u'2012-11-11 00:00:00',8342,26,30,20
1046,1,1, u'2012/2013', u'2012-11-11 00:00:00',9987,25,31,20
1046,1,1, u'2012/2013', u'2012-11-11 00:00:00',9998,29,35,24
1047,1,1, u'2012/2013', u'2012-11-10 00:00:00',10000,25,32,18
1047,1,1, u'2012/2013', u'2012-11-10 00:00:00',8203,26,33,21
1048,1,1, u'2012/2013', u'2012-11-10 00:00:00',1773,28,32,22
1048,1,1, u'2012/2013', u'2012-11-10 00:00:00',8571,26,31,21
1049,1,1, u'2012/2013', u'2012-11-09 00:00:00',9994,26,34,20
1049,1,1, u'2012/2013', u'2012-11-09 00:00:00',9985,25,29,19
1050,1,1, u'2012/2013', u'2012-11-10 00:00:00',9989,24,30,19
1050,1,1, u'2012/2013', u'2012-11-10 00:00:00',9993,25,30,19
1051,1,1, u'2012/2013', u'2012-11-10 00:00:00',8475,27,34,20
1051,1,1, u'2012/2013', u'2012-11-10 00:00:00',9986,25,27,20
1052,1,1, u'2012/2013', u'2012-11-10 00:00:00',9984,29,34,20
1052,1,1, u'2012/2013', u'2012-11-10 00:00:00',9991,25,30,18
1053,1,1, u'2012/2013', u'2012-11-18 00:00:00',8635,25,31,18
1053,1,1, u'2012/2013', u'2012-11-18 00:00:00',8571,26,30,21
1054,1,1, u'2012/2013', u'2012-11-17 00:00:00',9986,25,27,20
1054,1,1, u'2012/2013', u'2012-11-17 00:00:00',8203,26,33,21
1055,1,1, u'2012/2013', u'2012-11-18 00:00:00',10000,25,32,18
1055,1,1, u'2012/2013', u'2012-11-18 00:00:00',9985,24,29,19
1056,1,1, u'2012/2013', u'2012-11-17 00:00:00',1773,28,32,22
1056,1,1, u'2012/2013', u'2012-11-17 00:00:00',9998,28,35,21
1057,1,1, u'2012/2013', u'2012-11-18 00:00:00',9994,26,34,20
1057,1,1, u'2012/2013', u'2012-11-18 00:00:00',9993,25,30,19
1058,1,1, u'2012/2013', u'2012-11-17 00:00:00',9989,24,30,19
1058,1,1, u'2012/2013', u'2012-11-17 00:00:00',9991,25,30,21
1059,1,1, u'2012/2013', u'2012-11-17 00:00:00',8475,26,34,20
1059,1,1, u'2012/2013', u'2012-11-17 00:00:00',8342,26,34,20
1060,1,1, u'2012/2013', u'2012-11-17 00:00:00',9984,28,34,20
1060,1,1, u'2012/2013', u'2012-11-17 00:00:00',9987,25,31,21
1061,1,1, u'2012/2013', u'2012-11-25 00:00:00',8342,27,34,20
1061,1,1, u'2012/2013', u'2012-11-25 00:00:00',9986,24,27,21
1062,1,1, u'2012/2013', u'2012-11-23 00:00:00',9985,24,29,19
1062,1,1, u'2012/2013', u'2012-11-23 00:00:00',9989,24,29,19
1063,1,1, u'2012/2013', u'2012-11-25 00:00:00',9987,25,31,18
1063,1,1, u'2012/2013', u'2012-11-25 00:00:00',1773,27,32,22
1064,1,1, u'2012/2013', u'2012-11-24 00:00:00',9991,24,30,18
1064,1,1, u'2012/2013', u'2012-11-24 00:00:00',10000,25,32,18
1065,1,1, u'2012/2013', u'2012-11-24 00:00:00',9993,24,30,18
1065,1,1, u'2012/2013', u'2012-11-24 00:00:00',8635,26,31,18
1066,1,1, u'2012/2013', u'2012-11-24 00:00:00',8571,25,30,21
1066,1,1, u'2012/2013', u'2012-11-24 00:00:00',9984,28,34,20
1067,1,1, u'2012/2013', u'2012-11-24 00:00:00',8203,26,33,21
1067,1,1, u'2012/2013', u'2012-11-24 00:00:00',8475,27,34,20
1068,1,1, u'2012/2013', u'2012-11-24 00:00:00',9998,28,35,21
1068,1,1, u'2012/2013', u'2012-11-24 00:00:00',9994,27,34,20
1069,1,1, u'2012/2013', u'2012-12-01 00:00:00',8342,26,34,18
1069,1,1, u'2012/2013', u'2012-12-01 00:00:00',8203,26,33,21
1070,1,1, u'2012/2013', u'2012-12-01 00:00:00',8635,25,31,18
1070,1,1, u'2012/2013', u'2012-12-01 00:00:00',9984,28,34,20
1071,1,1, u'2012/2013', u'2012-12-01 00:00:00',9986,25,27,21
1071,1,1, u'2012/2013', u'2012-12-01 00:00:00',8571,25,30,21
1072,1,1, u'2012/2013', u'2012-12-01 00:00:00',10000,25,32,18
1072,1,1, u'2012/2013', u'2012-12-01 00:00:00',9993,26,31,21
1073,1,1, u'2012/2013', u'2012-12-01 00:00:00',1773,27,32,22
1073,1,1, u'2012/2013', u'2012-12-01 00:00:00',9991,25,30,19
1074,1,1, u'2012/2013', u'2012-12-02 00:00:00',9994,26,34,20
1074,1,1, u'2012/2013', u'2012-12-02 00:00:00',9987,25,31,21
1075,1,1, u'2012/2013', u'2012-12-01 00:00:00',9989,25,30,19
1075,1,1, u'2012/2013', u'2012-12-01 00:00:00',9998,27,35,20
1076,1,1, u'2012/2013', u'2012-12-02 00:00:00',8475,27,34,20
1076,1,1, u'2012/2013', u'2012-12-02 00:00:00',9985,23,29,19
1077,1,1, u'2012/2013', u'2012-12-07 00:00:00',9985,24,29,19
1077,1,1, u'2012/2013', u'2012-12-07 00:00:00',9986,25,28,21
1078,1,1, u'2012/2013', u'2012-12-09 00:00:00',9987,25,31,21
1078,1,1, u'2012/2013', u'2012-12-09 00:00:00',9989,24,29,19
1079,1,1, u'2012/2013', u'2012-12-08 00:00:00',9991,25,30,19
1079,1,1, u'2012/2013', u'2012-12-08 00:00:00',8475,27,34,20
1080,1,1, u'2012/2013', u'2012-12-09 00:00:00',9993,26,31,19
1080,1,1, u'2012/2013', u'2012-12-09 00:00:00',8342,26,34,18
1081,1,1, u'2012/2013', u'2012-12-08 00:00:00',8571,26,30,21
1081,1,1, u'2012/2013', u'2012-12-08 00:00:00',10000,24,32,18
1082,1,1, u'2012/2013', u'2012-12-08 00:00:00',8203,26,30,21
1082,1,1, u'2012/2013', u'2012-12-08 00:00:00',9994,27,34,20
1083,1,1, u'2012/2013', u'2012-12-08 00:00:00',9998,28,35,21
1083,1,1, u'2012/2013', u'2012-12-08 00:00:00',8635,25,31,18
1084,1,1, u'2012/2013', u'2012-12-08 00:00:00',9984,28,34,20
